name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
High School Musical: The Musical: The Series,4,752,8.01,23.489,Disney+,2019-11-12,2023-08-09,Ended,FALSE,1366
Reign,4,742,8.042,150.016,The CW,2013-10-17,2017-06-16,Ended,FALSE,1338
The Terror,2,736,7.307,27.894,AMC,2018-03-26,2019-10-14,Canceled,FALSE,567
Limitless,1,734,7.3,21.349,CBS,2015-09-22,2016-04-26,Canceled,FALSE,217
Blue Bloods,13,734,7.736,166.22,CBS,2010-09-24,2023-05-19,Returning Series,TRUE,4620
Secret Invasion,1,732,7.1,160.928,Disney+,2023-06-21,2023-07-26,Ended,FALSE,35
Baby,3,728,7.883,24.21,Netflix,2018-11-30,2020-09-16,Ended,FALSE,656
Hanna,3,719,7.508,34.782,Prime Video,2019-03-28,2021-11-23,Ended,FALSE,971
My Name,1,715,8.283,25.525,Netflix,2021-10-15,2021-10-15,Ended,FALSE,0
Outer Banks,4,715,8.445,34.516,Netflix,2020-04-15,2023-02-23,Returning Series,TRUE,1044
FBI,5,711,8,118.377,CBS,2018-09-25,2023-05-23,Returning Series,TRUE,1701
Kengan Ashura,2,703,8.344,345.785,Netflix,2019-07-31,2023-09-21,Returning Series,TRUE,1513
