name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
Kamen Rider: Dragon Knight,1,77,8.2,64.434,The CW,2009-01-03,2009-12-26,Ended,FALSE,357
The Law According to Lidia Poët,1,77,7.2,11.289,Netflix,2023-02-15,2023-02-15,Returning Series,TRUE,0
I Think You Should Leave with Tim Robinson,3,77,6.968,26.854,Netflix,2019-04-23,2023-05-30,Returning Series,TRUE,1498
So Not Worth It,1,76,7.9,12.078,Netflix,2021-06-18,2021-06-18,Ended,FALSE,0
High Heat,1,76,7.7,35.698,Netflix,2022-08-17,2022-08-17,Ended,FALSE,0
"Good Morning, Verônica",2,76,7.368,8.75,Netflix,2020-10-01,2022-08-03,Returning Series,TRUE,671
The Waltons,9,76,7,47.592,CBS,1972-09-14,1981-06-04,Ended,FALSE,3185
Ares,1,76,6.691,11.322,Netflix,2020-01-17,2020-01-17,Ended,FALSE,0
The Longest Night,1,75,6.907,7.768,Netflix,2022-07-08,2022-07-08,Ended,FALSE,0
Mad Dogs,1,75,6.68,6.25,Prime Video,2015-01-15,2016-01-22,Canceled,FALSE,372
Jaguar,1,75,7.213,10.643,Netflix,2021-09-22,2021-09-22,Ended,FALSE,0
Defying Gravity,1,75,6.613,6.343,ABC,2009-08-02,2009-10-23,Canceled,FALSE,82
Surviving Death,1,75,6.873,6.242,Netflix,2021-01-06,2021-01-06,Ended,FALSE,0
The Streets of San Francisco,5,75,7.06,86.734,ABC,1972-09-23,1977-06-09,Ended,FALSE,1720
Grounded for Life,5,75,6.98,71.047,FOX,2001-01-10,2005-01-28,Ended,FALSE,1479
"Sex, Love & Goop",1,75,6.803,7.016,Netflix,2021-10-21,2021-10-21,Returning Series,TRUE,0
The Grinder,1,75,6.833,6.537,FOX,2015-09-29,2016-05-10,Canceled,FALSE,224
Street Food: Latin America,1,74,7.169,4.292,Netflix,2020-07-21,2020-07-21,Ended,FALSE,0
The Empress,1,74,7.811,10.148,Netflix,2022-09-29,2022-09-29,Returning Series,TRUE,0
Canine Intervention,1,74,7.068,5.597,Netflix,2021-02-24,2021-02-24,Returning Series,TRUE,0
Hit & Run,1,74,7.068,11.597,Netflix,2021-08-06,2021-08-06,Ended,FALSE,0
Mask Girl,1,74,7.953,61.07,Netflix,2023-08-18,2023-08-18,Ended,FALSE,0
Elite Short Stories: Samuel Omar,1,74,6.581,9.922,Netflix,2021-12-20,2021-12-20,Ended,FALSE,0
Headspace Guide to Meditation,1,74,7.851,5.445,Netflix,2021-01-01,2021-01-01,Ended,FALSE,0
Crime Scene: The Times Square Killer,1,74,6.912,6.903,Netflix,2021-12-29,2021-12-29,Ended,FALSE,0
The Care Bears,4,74,6.1,167.878,ABC,1985-09-14,1988-12-10,Ended,FALSE,1183
The Family,1,73,6.774,10.012,Netflix,2019-08-09,2019-08-09,Ended,FALSE,0
The Price Is Right,31,73,6.158,472.469,CBS,1972-09-04,2023-10-02,Returning Series,TRUE,18655
How To with John Wilson,3,73,8.171,15.552,HBO,2020-10-23,2023-09-01,Ended,FALSE,1043
Keep Sweet: Pray and Obey,1,73,7.521,8.946,Netflix,2022-06-08,2022-06-08,Ended,FALSE,0
Zero Chill,1,73,7.384,5.434,Netflix,2021-03-15,2021-03-15,Canceled,FALSE,0
Merry Happy Whatever,1,73,6.61,8.431,Netflix,2019-11-28,2019-11-28,Canceled,FALSE,0
Togetherness,2,73,6.973,7.762,HBO,2015-01-11,2016-04-10,Ended,FALSE,455
Holiday Home Makeover with Mr. Christmas,1,73,6.7,4.719,Netflix,2020-11-18,2020-11-18,Ended,FALSE,0
Criminal: Spain,1,73,6.541,7.717,Netflix,2019-09-20,2019-09-20,Ended,FALSE,0
Gen V,1,73,8,800.684,Prime Video,2023-09-28,2023-09-28,Returning Series,TRUE,0
Human Resources,2,73,6.932,18.604,Netflix,2022-03-18,2023-06-09,Ended,FALSE,448
THE DAYS,1,72,7.7,32.208,Netflix,2023-06-01,2023-06-01,Ended,FALSE,0
The Odd Couple,3,72,5.8,13.197,CBS,2015-02-19,2017-01-30,Canceled,FALSE,711
Connect,1,72,7.6,22.332,Disney+,2022-12-07,2022-12-07,Ended,FALSE,0
"Money, Explained",1,72,7.458,9.513,Netflix,2021-05-11,2021-05-11,Ended,FALSE,0
Vatican Girl: The Disappearance of Emanuela Orlandi,1,72,7.597,5.774,Netflix,2022-10-20,2022-10-20,Ended,FALSE,0
Tierra Incognita,1,72,7.4,12.843,Disney+,2022-09-08,2022-09-08,Returning Series,TRUE,0
The First,1,72,6.201,7.028,Hulu,2018-09-14,2018-09-14,Canceled,FALSE,0
T. J. Hooker,5,71,6.414,140.278,CBS,1982-03-13,1986-05-28,Ended,FALSE,1537
Pistol,1,71,7.754,11.057,Hulu,2022-05-31,2022-05-31,Ended,FALSE,0
Residue,1,71,5.366,9.154,Netflix,2015-03-31,2015-03-31,Ended,FALSE,0
Criminal: Germany,1,71,6.866,6.694,Netflix,2019-09-20,2019-09-20,Ended,FALSE,0
Snabba Cash,2,71,6.789,12.494,Netflix,2021-04-07,2022-09-22,Returning Series,TRUE,533
Simon & Simon,8,71,6.782,32.693,CBS,1981-11-24,1989-03-02,Ended,FALSE,2655
Casual,4,71,7.014,22.641,Hulu,2015-10-07,2018-07-31,Ended,FALSE,1028
Flaked,2,71,6.683,9.656,Netflix,2016-03-11,2017-06-02,Canceled,FALSE,448
The New Adventures of Old Christine,5,71,6.9,110.371,CBS,2006-03-13,2010-05-12,Canceled,FALSE,1521
Kolchak: The Night Stalker,1,71,7.5,39.231,ABC,1974-09-13,1975-03-28,Ended,FALSE,196
Sugar Rush,3,71,6.972,10.652,Netflix,2018-07-13,2020-07-31,Returning Series,TRUE,749
Star Wars: Droids,1,70,5.186,10.209,ABC,1985-09-07,1985-11-30,Ended,FALSE,84
Scaredy Cats,1,70,6.771,10.856,Netflix,2021-10-01,2021-10-01,Canceled,FALSE,0
Criminal: France,1,70,6.85,7.168,Netflix,2019-09-20,2019-09-20,Ended,FALSE,0
Framed! A Sicilian Murder Mystery,2,70,6.957,8.211,Netflix,2022-01-01,2023-03-02,Returning Series,TRUE,425
Dollface,2,70,7.507,13.877,Hulu,2019-11-15,2022-02-11,Canceled,FALSE,819
Murderville,1,70,6.5,7.632,Netflix,2022-02-03,2022-02-03,Returning Series,TRUE,0
Galactica 1980,1,70,6.1,11.328,ABC,1980-01-27,1980-05-04,Ended,FALSE,98
Backstrom,1,70,6.7,6.471,FOX,2015-01-22,2015-04-30,Canceled,FALSE,98
Haters Back Off,2,70,6.279,14.826,Netflix,2016-10-14,2017-10-20,Canceled,FALSE,371
Fatma,1,70,7.152,5.463,Netflix,2021-04-27,2021-04-27,Ended,FALSE,0
"Blood, Sex & Royalty",1,69,7.551,16.186,Netflix,2022-11-23,2022-11-23,Ended,FALSE,0
The Lying Life of Adults,1,69,7.5,14.407,Netflix,2023-01-04,2023-01-04,Ended,FALSE,0
Wipeout,7,69,6.478,17.637,ABC,2008-06-28,2014-09-07,Ended,FALSE,2262
The Wonderful World of Mickey Mouse,1,69,7.522,61.98,Disney+,2020-11-18,2021-08-25,Ended,FALSE,280
Painkiller,1,69,7.5,40.518,Netflix,2023-08-10,2023-08-10,Ended,FALSE,0
James May: Our Man In…,2,69,7.594,5.054,Prime Video,2020-01-03,2022-07-15,Returning Series,TRUE,924
Enlightened,2,69,7.268,18.791,HBO,2011-10-10,2013-03-03,Canceled,FALSE,510
Moving,1,69,8.435,121.567,Disney+,2023-08-09,2023-09-20,Ended,FALSE,42
Legend Quest,1,69,7.87,6.293,Netflix,2017-02-24,2017-02-24,Ended,FALSE,0
Sunderland 'Til I Die,2,69,7.833,4.453,Netflix,2018-12-14,2020-04-01,Canceled,FALSE,474
John Doe,1,69,7.21,34.383,FOX,2002-09-20,2003-04-25,Canceled,FALSE,217
Red Band Society,1,69,7.239,10.987,FOX,2014-09-17,2015-02-07,Canceled,FALSE,143
Copycat Killer,1,69,7.877,16.943,Netflix,2023-03-31,2023-03-31,Ended,FALSE,0
Heavenly Bites: Mexico,1,69,6.5,3.595,Netflix,2022-01-19,2022-01-19,Returning Series,TRUE,0
"The Adventures of Brisco County, Jr.",1,69,7.051,36.299,FOX,1993-08-27,1994-05-20,Ended,FALSE,266
Goedam,1,69,7,7.867,Netflix,2020-08-20,2020-08-20,Ended,FALSE,0
Joan of Arcadia,2,68,7.3,93.843,CBS,2003-09-26,2005-04-22,Canceled,FALSE,574
Kota Factory,2,68,8.125,7.891,Netflix,2019-04-16,2021-09-24,Returning Series,TRUE,892
"Pepsi, Where's My Jet?",1,68,6.757,12.24,Netflix,2022-11-17,2022-11-17,Ended,FALSE,0
Planet of the Apes,1,68,6.9,9.668,CBS,1974-09-13,1974-12-20,Ended,FALSE,98
A Perfect Story,1,68,7.949,37.155,Netflix,2023-07-28,2023-07-28,Ended,FALSE,0
The Orbital Children,1,68,7.4,30.267,Netflix,2022-01-28,2022-01-28,Ended,FALSE,0
Extraordinary,1,67,7.522,18.502,Disney+,2023-01-25,2023-01-25,Returning Series,TRUE,0
Tales of the City,1,67,7.485,10.135,Netflix,2019-06-07,2019-06-07,Ended,FALSE,0
Good Times,6,67,7.881,91.43,CBS,1974-02-08,1979-08-01,Ended,FALSE,2000
Life with Louie,3,67,6.806,8.887,FOX,1994-12-24,1998-03-03,Ended,FALSE,1165
Everything Calls for Salvation,1,67,7.47,7.914,Netflix,2022-10-14,2022-10-14,Returning Series,TRUE,0
Roman Empire,3,67,6.701,29.347,Netflix,2016-11-11,2019-04-05,Ended,FALSE,875
Life Unexpected,2,67,7.806,18.488,The CW,2010-01-18,2011-01-18,Ended,FALSE,365
Dark Tourist,1,67,6.582,4.62,Netflix,2018-07-20,2018-07-20,Ended,FALSE,0
Pure Genius,1,67,6.396,7.029,CBS,2016-10-27,2017-01-26,Canceled,FALSE,91
Soundtrack #1,1,67,8.269,19.474,Disney+,2022-03-23,2022-04-13,Ended,FALSE,21
Parallels,1,67,7.7,11.618,Disney+,2022-03-23,2022-03-23,Ended,FALSE,0
Time After Time,1,67,6.664,9.976,ABC,2017-03-05,2017-03-26,Canceled,FALSE,21
Murder Among the Mormons,1,67,7.152,5.295,Netflix,2021-03-03,2021-03-03,Ended,FALSE,0
The Neighbors,2,66,6.2,8.917,ABC,2012-09-26,2014-04-11,Ended,FALSE,562
Gudetama: An Eggcellent Adventure,1,66,7.788,9.115,Netflix,2022-12-13,2022-12-13,Ended,FALSE,0
Muted,1,66,6.409,24.94,Netflix,2023-05-19,2023-05-19,Ended,FALSE,0
Threshold,1,66,7.015,11.862,CBS,2005-09-16,2006-02-01,Canceled,FALSE,138
Hotel Hell,3,66,7.114,7.343,FOX,2012-08-13,2016-07-26,Ended,FALSE,1443
The Lone Gunmen,1,66,6.886,9.829,FOX,2001-03-04,2001-06-01,Canceled,FALSE,89
Martial Law,2,66,6.947,17.006,CBS,1998-09-26,2000-05-13,Ended,FALSE,595
Battle Creek,1,66,7,8.148,CBS,2015-03-01,2015-05-24,Canceled,FALSE,84
Clark,1,66,6.773,7.73,Netflix,2022-05-05,2022-05-05,Ended,FALSE,0
All Hail King Julien,5,66,7.348,34.942,Netflix,2014-12-19,2017-12-01,Ended,FALSE,1078
Spider-Woman,1,65,7.8,12.25,ABC,1979-09-22,1980-01-05,Ended,FALSE,105
Dark Winds,2,65,7.6,24.273,AMC,2022-06-12,2023-09-03,Returning Series,TRUE,448
Barbie: It Takes Two,2,65,8.085,7.274,Netflix,2022-04-08,2022-10-01,Returning Series,TRUE,176
BREAK IT ALL: The History of Rock in Latin America,1,65,7.6,6.099,Netflix,2020-12-16,2020-12-16,Ended,FALSE,0
Gracepoint,1,65,6.715,5.003,FOX,2014-10-02,2014-12-11,Ended,FALSE,70
The Larry Sanders Show,6,65,7.777,82.267,HBO,1992-08-15,1998-05-31,Ended,FALSE,2115
VICE,6,65,6.9,36.079,HBO,2013-04-05,2018-12-14,Ended,FALSE,2079
The Playlist,1,65,7.192,11.116,Netflix,2022-10-13,2022-10-13,Ended,FALSE,0
Wheel of Fortune,41,65,6.8,630.168,CBS,1983-09-19,2023-10-02,Returning Series,TRUE,14623
Jury Duty,1,65,8.077,22.965,Prime Video,2023-04-07,2023-04-21,Returning Series,TRUE,14
Uncoupled,1,65,6.692,17.883,Netflix,2022-07-29,2022-07-29,Returning Series,TRUE,0
Surviving Summer,2,65,7.2,57.074,Netflix,2022-06-03,2023-09-15,Returning Series,TRUE,469
Eva Lasting,1,64,8.258,6.85,Netflix,2023-02-15,2023-02-15,Returning Series,TRUE,0
Country Comfort,1,64,7.555,8.016,Netflix,2021-03-19,2021-03-19,Canceled,FALSE,0
Dirty Sexy Money,2,64,6.219,10.988,ABC,2007-09-26,2009-08-08,Ended,FALSE,682
Romance Is a Bonus Book,1,64,7.8,19.239,Netflix,2019-01-26,2019-03-17,Ended,FALSE,50
Tell Me Lies,1,64,7.3,11.788,Hulu,2022-09-07,2022-10-26,Returning Series,TRUE,49
Judging Amy,6,64,7.773,133.931,CBS,1999-09-19,2005-05-03,Ended,FALSE,2053
History of Swear Words,1,64,6.703,6.41,Netflix,2021-01-05,2021-01-05,Ended,FALSE,0
Chip 'n' Dale: Park Life,2,64,6.6,47.559,Disney+,2021-07-28,2023-08-30,Returning Series,TRUE,763
Copenhagen Cowboy,1,64,6.8,8.595,Netflix,2023-01-05,2023-01-05,Ended,FALSE,0
The Defiant Ones,1,64,7.648,8.591,HBO,2017-07-09,2017-07-12,Ended,FALSE,3
Leave It to Beaver,6,63,7.095,190.723,ABC,1957-10-04,1963-06-20,Ended,FALSE,2085
WKRP in Cincinnati,4,63,7.54,107.079,CBS,1978-09-18,1982-04-21,Ended,FALSE,1311
The Toys That Made Us,3,63,7.619,7.71,Netflix,2017-12-22,2019-11-15,Ended,FALSE,693
Soulmates,1,63,6.4,8.553,AMC,2020-10-05,2020-11-09,Canceled,FALSE,35
Dealer,1,63,6.675,6.842,Netflix,2021-03-10,2021-03-10,Ended,FALSE,0
Farzi,1,63,8.048,45.697,Prime Video,2023-02-10,2023-02-10,Ended,FALSE,0
Eli Stone,2,63,6.992,11.753,ABC,2008-01-31,2009-04-06,Canceled,FALSE,431
Cracow Monsters,1,63,6.365,11.814,Netflix,2022-03-18,2022-03-18,Ended,FALSE,0
Countdown: Inspiration4 Mission to Space,1,63,6.7,4.487,Netflix,2021-09-06,2021-09-30,Ended,FALSE,24
Just Add Magic,3,63,7.9,93.457,Prime Video,2015-01-15,2019-01-31,Ended,FALSE,1477
Last Chance U: Basketball,2,63,7.794,10.078,Netflix,2021-03-10,2022-12-13,Returning Series,TRUE,643
How to Make It in America,2,63,7.46,12.127,HBO,2010-02-14,2011-11-20,Canceled,FALSE,644
Dark Shadows,12,63,6.8,143.045,ABC,1966-06-27,1971-04-02,Ended,FALSE,1740
Fleishman Is in Trouble,1,63,7.421,13.902,Hulu,2022-11-17,2022-12-29,Ended,FALSE,42
The Gates,1,63,6.476,8.169,ABC,2010-06-20,2010-09-19,Ended,FALSE,91
The Beatles Anthology,1,63,8.3,8.485,ABC,1995-11-19,1995-11-23,Ended,FALSE,4
Somewhere Between,1,62,6.5,14.124,ABC,2017-07-24,2017-09-19,Ended,FALSE,57
The Oscars,71,62,6.903,11.635,ABC,1953-03-19,2023-03-12,Returning Series,TRUE,25560
Samantha Who?,2,62,6.597,9.975,ABC,2007-10-15,2009-07-23,Ended,FALSE,647
Dimension 404,1,62,6.4,12.862,Hulu,2017-04-04,2017-04-25,Ended,FALSE,21
Junji Ito Maniac: Japanese Tales of the Macabre,1,62,7.282,28.01,Netflix,2023-01-19,2023-01-19,Ended,FALSE,0
Fernando,2,62,7.1,5.847,Prime Video,2020-09-25,2021-08-27,Returning Series,TRUE,336
Mr. Show with Bob and David,4,62,7.71,53.859,HBO,1995-11-03,1998-12-28,Ended,FALSE,1151
Chicago Hope,6,62,7.54,26.017,CBS,1994-09-18,2000-05-04,Ended,FALSE,2055
Abstract: The Art of Design,2,62,7.8,8.628,Netflix,2017-02-10,2019-09-25,Ended,FALSE,957
Disney's House of Mouse,3,62,7.516,29.789,ABC,2001-01-13,2003-12-24,Ended,FALSE,1075
Centaurworld,2,62,7.306,11.458,Netflix,2021-07-30,2021-12-07,Ended,FALSE,130
The Baby,1,62,6.282,11.859,HBO,2022-04-24,2022-06-12,Ended,FALSE,49
The Gryphon,1,61,6.844,27.037,Prime Video,2023-05-26,2023-05-26,Returning Series,TRUE,0
Kid Cosmic,3,61,8.5,9.881,Netflix,2021-02-02,2022-02-03,Ended,FALSE,366
Dastardly and Muttley in Their Flying Machines,1,61,7.18,193.516,CBS,1969-09-13,1970-01-03,Ended,FALSE,112
Florida Man,1,61,6.951,16.02,Netflix,2023-04-13,2023-04-13,Ended,FALSE,0
Dead Ringers,1,61,6.492,16.966,Prime Video,2023-04-20,2023-04-20,Ended,FALSE,0
Dragon Age: Absolution,1,61,6.525,10.472,Netflix,2022-12-09,2022-12-09,Returning Series,TRUE,0
Monsterland,1,61,6.6,14.563,Hulu,2020-10-02,2020-10-02,Ended,FALSE,0
The Rookie: Feds,1,61,7.8,54.454,ABC,2022-09-27,2023-05-02,Returning Series,TRUE,217
An Unknown Enemy,2,60,8.017,10.411,Prime Video,2018-10-01,2022-09-28,Returning Series,TRUE,1458
The Mary Tyler Moore Show,7,60,7.5,244.342,CBS,1970-09-19,1977-03-19,Ended,FALSE,2373
Take Two,1,60,7.125,8.319,ABC,2018-06-21,2018-09-13,Canceled,FALSE,84
Joan of Arc,1,60,6.492,11.157,CBS,1999-05-16,1999-05-18,Ended,FALSE,2
American Born Chinese,1,60,6.7,42.605,Disney+,2023-05-24,2023-05-24,Returning Series,TRUE,0
Laverne & Shirley,8,60,7.25,16.147,ABC,1976-01-27,1983-05-10,Ended,FALSE,2660
Sabrina: The Animated Series,1,59,7.042,137.392,ABC,1999-09-06,2000-02-27,Ended,FALSE,174
Eden,1,59,6.593,10.233,Netflix,2021-05-27,2021-05-27,Ended,FALSE,0
Hostages,1,59,6.229,9.582,CBS,2013-09-23,2014-01-06,Canceled,FALSE,105
Car Masters: Rust to Riches,4,59,7.449,12.594,Netflix,2018-09-14,2022-07-27,Returning Series,TRUE,1412
Monsters Inside: The 24 Faces of Billy Milligan,1,59,7.068,7.624,Netflix,2021-09-22,2021-09-22,Ended,FALSE,0
Divorce,3,59,6.3,10.042,HBO,2016-10-09,2019-08-05,Ended,FALSE,1030
Creature,1,59,4.839,9.487,ABC,1998-05-18,1998-05-19,Ended,FALSE,1
Intimacy,1,59,6.847,15.762,Netflix,2022-06-10,2022-06-10,Ended,FALSE,0
"Dynomutt, Dog Wonder",2,59,9.085,8.626,ABC,1976-09-11,1977-10-29,Ended,FALSE,413
The Circle,5,59,6.941,17.835,Netflix,2020-01-01,2023-01-18,Returning Series,TRUE,1113
Pretty Smart,1,59,6.763,11.01,Netflix,2021-10-08,2021-10-08,Canceled,FALSE,0
Hong Kong Phooey,1,59,6.186,54.243,ABC,1974-09-07,1974-12-21,Ended,FALSE,105
So You Think You Can Dance,17,59,7.1,258.742,FOX,2005-07-20,2022-08-10,Returning Series,TRUE,6230
The Pentaverate,1,59,5.905,8.488,Netflix,2022-05-05,2022-05-05,Ended,FALSE,0
Breaking In,2,58,6.741,9.955,FOX,2011-04-06,2012-08-22,Canceled,FALSE,504
Shazzan,1,58,7.2,11.439,CBS,1967-09-09,1968-01-20,Ended,FALSE,133
Somebody,1,58,7.1,13.877,Netflix,2022-11-18,2022-11-18,Ended,FALSE,0
Murphy Brown,10,58,6.5,21.486,CBS,1988-11-14,1998-05-18,Ended,FALSE,3472
Nailed It!,7,58,7.172,12.944,Netflix,2018-03-09,2022-10-05,Returning Series,TRUE,1671
Training Day,1,58,5.664,8.072,CBS,2017-02-02,2017-05-20,Canceled,FALSE,107
The Disappearance of Madeleine McCann,1,58,6.339,6.883,Netflix,2019-03-15,2019-03-15,Ended,FALSE,0
W/ Bob & David,1,58,6.776,7.504,Netflix,2015-11-13,2015-11-13,Ended,FALSE,0
SKAM Italy,6,58,7.431,10.649,Netflix,2018-03-29,2022-09-01,Returning Series,TRUE,1617
Panchayat,3,58,8.1,21.293,Prime Video,2020-04-03,2022-05-18,Returning Series,TRUE,775
School Tales the Series,1,58,7.4,16.247,Netflix,2022-08-10,2022-08-10,Ended,FALSE,0
Island of the Sea Wolves,1,58,8.724,8.007,Netflix,2022-10-11,2022-10-11,Ended,FALSE,0
Anxious People,1,58,6.2,4.789,Netflix,2021-12-29,2021-12-29,Ended,FALSE,0
Tom and Jerry Tales,2,57,7.325,53.29,The CW,2006-09-23,2008-03-22,Ended,FALSE,546
The Duchess,1,57,6.9,4.2,Netflix,2020-09-11,2020-09-11,Canceled,FALSE,0
Paatal Lok,1,57,7.289,6.222,Prime Video,2020-05-15,2020-05-15,Ended,FALSE,0
Fire Country,1,57,8.649,37.517,CBS,2022-10-07,2023-05-19,Returning Series,TRUE,224
101 Dalmatians: The Series,2,57,6.6,209.959,ABC,1997-09-13,1998-03-04,Ended,FALSE,172
Little Britain USA,1,57,6.754,9.87,HBO,2008-09-28,2008-11-02,Ended,FALSE,35
The Bachelor,28,57,5.5,28.99,ABC,2002-03-25,2023-03-27,Returning Series,TRUE,7672
Empire Falls,1,57,6.553,8.103,HBO,2005-05-28,2005-05-29,Ended,FALSE,1
Zombieland,1,57,5.833,9.325,Prime Video,2013-04-19,2013-04-19,Pilot,FALSE,0
The Corner,1,57,7.781,7.728,HBO,2000-04-16,2000-05-21,Ended,FALSE,35
Parker Lewis Can't Lose,3,57,7.263,112.794,FOX,1990-09-02,1993-06-13,Ended,FALSE,1015
The Honeymooners,1,56,7.4,10.41,CBS,1955-10-01,1956-09-22,Ended,FALSE,357
Kakegurui Twin,1,56,7.536,25.754,Netflix,2022-08-04,2022-08-04,Ended,FALSE,0
Chicago Party Aunt,1,56,6.2,16.304,Netflix,2021-09-17,2022-12-30,Returning Series,TRUE,469
The Real O'Neals,2,56,7.339,18.378,ABC,2016-03-02,2017-03-14,Canceled,FALSE,377
The Job,2,56,6.571,5.619,ABC,2001-03-14,2002-04-24,Ended,FALSE,406
Lassie,19,56,6.152,201.3,CBS,1954-09-12,1973-03-24,Ended,FALSE,6768
Crime Diaries: The Candidate,1,56,7.4,6.782,Netflix,2019-03-22,2019-03-22,Returning Series,TRUE,0
Populismo en América Latina,1,56,5.8,2.074,Prime Video,2018-06-22,2018-06-22,Ended,FALSE,0
Freakish,2,56,6.464,7.673,Hulu,2016-10-10,2017-10-18,Ended,FALSE,373
The Hollow,2,56,6.813,10.765,Netflix,2018-06-08,2020-05-08,Ended,FALSE,700
The 43,1,56,6.768,3.571,Netflix,2019-02-15,2019-02-15,Ended,FALSE,0
The Adventures of Puss in Boots,6,56,7.1,30.569,Netflix,2015-01-16,2018-02-02,Ended,FALSE,1113
Love Never Lies: Destination Sardinia,1,56,7.6,5.07,Netflix,2022-11-10,2022-11-17,Returning Series,TRUE,7
60 Minutes,34,56,6.973,82.002,CBS,1968-09-24,2023-10-01,Returning Series,TRUE,20095
Kevin Can F**K Himself,2,56,6.9,7.263,AMC,2021-06-20,2022-10-10,Ended,FALSE,477
Deadbeat,3,56,6.6,6.039,Hulu,2014-04-09,2016-04-20,Canceled,FALSE,742
Mistresses,4,56,5.4,16.153,ABC,2013-06-03,2016-09-06,Canceled,FALSE,1191
Yakamoz S-245,1,55,6.827,7.199,Netflix,2022-04-20,2022-04-20,Returning Series,TRUE,0
The Power,1,55,6.2,19.27,Prime Video,2023-03-30,2023-05-11,Returning Series,TRUE,42
Chelsea,2,55,5.227,130.169,Netflix,2016-05-11,2017-12-15,Canceled,FALSE,583
The Wild Wild West,4,55,7.4,155.188,CBS,1965-09-17,1969-04-04,Ended,FALSE,1295
Real Rob,2,55,6.4,7.61,Netflix,2015-12-01,2017-09-29,Canceled,FALSE,668
Animals.,3,55,6.127,15.126,HBO,2016-02-05,2018-10-05,Canceled,FALSE,973
The 7 Lives of Lea,1,55,7.445,9.07,Netflix,2022-04-28,2022-04-28,Ended,FALSE,0
Charles in Charge,5,55,6.191,172.387,CBS,1984-10-03,1990-11-10,Ended,FALSE,2229
Post Mortem: No One Dies in Skarnes,1,55,7.527,5.7,Netflix,2021-08-25,2021-08-25,Ended,FALSE,0
Sasquatch,1,55,7.6,3.761,Hulu,2021-04-20,2021-04-20,Ended,FALSE,0
Life Sentence,1,55,6.4,5.742,The CW,2018-03-07,2018-06-15,Canceled,FALSE,100
Pitch,1,55,6.082,13.138,FOX,2016-09-22,2016-12-08,Canceled,FALSE,77
Osmosis,1,54,5.741,8.321,Netflix,2019-03-29,2019-03-29,Canceled,FALSE,0
Not Dead Yet,1,54,7.083,17.949,ABC,2023-02-08,2023-05-03,Returning Series,TRUE,84
True Lies,1,54,6.778,31.323,CBS,2023-03-01,2023-05-17,Canceled,FALSE,77
Bangkok Breaking,1,54,6.7,8.894,Netflix,2021-09-23,2021-09-23,Ended,FALSE,0
The Ripper,1,54,6.657,4.155,Netflix,2020-12-16,2020-12-16,Ended,FALSE,0
The Guardians of Justice,1,54,5.528,15.273,Netflix,2022-03-01,2022-03-01,Ended,FALSE,0
Love Is Blind,5,54,7.1,46.558,Netflix,2020-02-13,2023-09-29,Returning Series,TRUE,1324
Harlan Coben's Shelter,1,54,7.546,86.393,Prime Video,2023-08-17,2023-09-21,Returning Series,TRUE,35
American Gothic,1,54,5.333,6.709,CBS,2016-06-22,2016-09-07,Canceled,FALSE,77
Dr. Ken,2,54,5.528,19.785,ABC,2015-10-02,2017-03-31,Canceled,FALSE,546
Erased,1,54,7.231,12.881,Netflix,2017-12-15,2017-12-15,Ended,FALSE,0
God's Favorite Idiot,1,54,6.611,8.452,Netflix,2022-06-15,2022-06-15,Returning Series,TRUE,0
Holiday Secrets,1,54,6.2,4.333,Netflix,2019-11-20,2019-11-20,Ended,FALSE,0
Phantom Pups,1,54,8.4,9.038,Netflix,2022-09-30,2022-09-30,Returning Series,TRUE,0
Hold Tight,1,54,6.62,7.139,Netflix,2022-04-22,2022-04-22,Ended,FALSE,0
FIFA Uncovered,1,53,7.1,4.991,Netflix,2022-11-09,2022-11-09,Ended,FALSE,0
Son of Zorn,1,53,6.151,7.398,FOX,2016-09-11,2017-02-19,Canceled,FALSE,161
Alpha Males,2,53,7.509,13.074,Netflix,2022-12-30,2022-12-30,Returning Series,TRUE,0
The Idhun Chronicles,2,53,7.1,6.436,Netflix,2020-09-10,2021-01-08,Canceled,FALSE,120
Alaska Daily,1,53,7.764,7.538,ABC,2022-10-06,2023-03-30,Canceled,FALSE,175
Rotten,2,53,7.283,5.928,Netflix,2018-01-05,2019-10-04,Ended,FALSE,637
Lost Ollie,1,53,8.085,10.99,Netflix,2022-08-24,2022-08-24,Ended,FALSE,0
Max Headroom,2,53,6.8,3.766,ABC,1987-03-31,1998-05-12,Ended,FALSE,4060
The Tailor,2,53,7,31.148,Netflix,2023-05-02,2023-07-28,Returning Series,TRUE,87
Lady Dynamite,2,52,7.25,5.719,Netflix,2016-05-20,2017-11-10,Canceled,FALSE,539
The Great Indoors,1,52,5.481,43.802,CBS,2016-10-27,2017-05-08,Canceled,FALSE,193
Green Acres,6,52,7.26,22.046,CBS,1965-09-15,1971-04-27,Ended,FALSE,2050
The Good Guys,1,52,7.212,36.792,FOX,2010-05-19,2010-12-10,Canceled,FALSE,205
Heartbreak High,2,52,7.067,12.106,Netflix,2022-09-14,2022-09-14,Returning Series,TRUE,0
All or Nothing: Manchester City,1,52,7.298,5.273,Prime Video,2018-08-17,2018-08-17,Ended,FALSE,0
White House Plumbers,1,52,6.4,26.79,HBO,2023-05-01,2023-05-29,Ended,FALSE,28
